contact_name,contact_role,contact_title,email,phone
Fred Bachelor,Director,The Aldridge Company,Director of Marketing,fbachelor@aa.com,123423455
Aaron Fitzpatrick,Analyst,Analyst,afitz@bb.com,12344325
Angie Vinson,CEO,CEO,avinson@cc.com,12342351
Iris Velazquez,CFO,CFO,ivelaz@gga.com,12563345
Irving Ware,CIO,CIO,iware@vbn.com,12348795
Ira Chan,CMO,CMO,ichan@asd.com,12346785
Josh Robbins,Consultant,Consultant,jrobbins@ert.com,12349095
Josef Burke,COO,COO,jburke@dfg.com,675312345
Kenton Dodson,Director of Accounting,Director,kdodson@zz.com,56612345
Laurence Martinez,Director of Marketing,Director,lmartinez@cvb.com,123454675
Lillian Mcintosh,Director of Operations,Director,lmcitosh@mkj.com,4567812345
Luz Mcneil,Director of Sales,Director,lmcneil@asdfg.com,1235645645
Marilyn Roman,Manager,Manager,mroman@ght.com,8912345
Monty Cohen,President,President,mcohen@juy.com,123457675
Otis Hartman,Supervisor,Supervisor,ohartman@cvb.com,1232345
Salvador Doyle,VP of Finance,Vice President,sdoyle@lop.com,1002345
Ruth Noble,VP of IT,Vice President,rnoble@vbp.com,123945
Romeo Moon,VP of Marketing,Vice President,rmoon@ghq.com,123455
Spencer Solomon,VP of Sales,Vice President,ssolomon@rty.com,13345
Tommie Collier,VP of Security,Vice President,tcollier@ert.com,212345

